id,amount,category,ts,tier,date,hour,day_of_week,amount_z
0,109.14,A,2024-01-01 00:00:00,high,2024-01-01,0,Monday,0.3117
2,122.51,B,2024-01-01 02:00:00,high,2024-01-01,2,Monday,0.7561
4,41.47,A,2024-01-01 04:00:00,low,2024-01-01,4,Monday,-1.9377
5,60.93,C,2024-01-01 05:00:00,medium,2024-01-01,5,Monday,-1.2908
6,103.84,C,2024-01-01 06:00:00,high,2024-01-01,6,Monday,0.1355
8,99.5,A,2024-01-01 08:00:00,medium,2024-01-01,8,Monday,-0.0087
10,126.38,A,2024-01-01 10:00:00,high,2024-01-01,10,Monday,0.8848
11,123.33,C,2024-01-01 11:00:00,high,2024-01-01,11,Monday,0.7834
12,101.98,B,2024-01-01 12:00:00,high,2024-01-01,12,Monday,0.0737
13,133.82,B,2024-01-01 13:00:00,high,2024-01-01,13,Monday,1.1321
14,114.03,A,2024-01-01 14:00:00,high,2024-01-01,14,Monday,0.4743
15,74.22,C,2024-01-01 15:00:00,medium,2024-01-01,15,Monday,-0.8491
16,111.06,A,2024-01-01 16:00:00,high,2024-01-01,16,Monday,0.3755
17,71.23,B,2024-01-01 17:00:00,medium,2024-01-01,17,Monday,-0.9484
18,126.35,B,2024-01-01 18:00:00,high,2024-01-01,18,Monday,0.8838
19,98.5,C,2024-01-01 19:00:00,medium,2024-01-01,19,Monday,-0.042
20,94.45,B,2024-01-01 20:00:00,medium,2024-01-01,20,Monday,-0.1766
21,79.57,B,2024-01-01 21:00:00,medium,2024-01-01,21,Monday,-0.6712
22,136.68,B,2024-01-01 22:00:00,high,2024-01-01,22,Monday,1.2272
23,95.36,B,2024-01-01 23:00:00,medium,2024-01-01,23,Monday,-0.1463
24,87.15,B,2024-01-02 00:00:00,medium,2024-01-02,0,Tuesday,-0.4193
25,89.44,C,2024-01-02 01:00:00,medium,2024-01-02,1,Tuesday,-0.3431
26,115.97,C,2024-01-02 02:00:00,high,2024-01-02,2,Tuesday,0.5388
27,110.96,B,2024-01-02 03:00:00,high,2024-01-02,3,Tuesday,0.3722
28,112.38,A,2024-01-02 04:00:00,high,2024-01-02,4,Tuesday,0.4194
29,112.92,B,2024-01-02 05:00:00,high,2024-01-02,5,Tuesday,0.4374
30,164.25,A,2024-01-02 06:00:00,premium,2024-01-02,6,Tuesday,2.1436
31,87.81,A,2024-01-02 07:00:00,medium,2024-01-02,7,Tuesday,-0.3973
32,84.63,C,2024-01-02 08:00:00,medium,2024-01-02,8,Tuesday,-0.503
34,118.48,B,2024-01-02 10:00:00,high,2024-01-02,10,Tuesday,0.6222
36,96.58,A,2024-01-02 12:00:00,medium,2024-01-02,12,Tuesday,-0.1058
37,74.8,A,2024-01-02 13:00:00,medium,2024-01-02,13,Tuesday,-0.8298
38,75.27,A,2024-01-02 14:00:00,medium,2024-01-02,14,Tuesday,-0.8142
39,119.52,A,2024-01-02 15:00:00,high,2024-01-02,15,Tuesday,0.6568
40,122.3,C,2024-01-02 16:00:00,high,2024-01-02,16,Tuesday,0.7492
41,116.29,C,2024-01-02 17:00:00,high,2024-01-02,17,Tuesday,0.5494
42,80.03,B,2024-01-02 18:00:00,medium,2024-01-02,18,Tuesday,-0.6559
43,106.96,A,2024-01-02 19:00:00,high,2024-01-02,19,Tuesday,0.2393
44,103.5,B,2024-01-02 20:00:00,high,2024-01-02,20,Tuesday,0.1242
45,106.56,A,2024-01-02 21:00:00,high,2024-01-02,21,Tuesday,0.226
46,126.14,B,2024-01-02 22:00:00,high,2024-01-02,22,Tuesday,0.8768
47,106.71,B,2024-01-02 23:00:00,high,2024-01-02,23,Tuesday,0.2309
48,120.37,A,2024-01-03 00:00:00,high,2024-01-03,0,Wednesday,0.685
49,102.03,C,2024-01-03 01:00:00,high,2024-01-03,1,Wednesday,0.0754
50,108.67,C,2024-01-03 02:00:00,high,2024-01-03,2,Wednesday,0.2961
51,118.94,A,2024-01-03 03:00:00,high,2024-01-03,3,Wednesday,0.6375
52,56.29,B,2024-01-03 04:00:00,medium,2024-01-03,4,Wednesday,-1.4451
53,90.41,B,2024-01-03 05:00:00,medium,2024-01-03,5,Wednesday,-0.3109
54,85.89,A,2024-01-03 06:00:00,medium,2024-01-03,6,Wednesday,-0.4611
55,80.83,A,2024-01-03 07:00:00,medium,2024-01-03,7,Wednesday,-0.6293
56,91.75,B,2024-01-03 08:00:00,medium,2024-01-03,8,Wednesday,-0.2663
