lag,pacf
0,1.0
1,0.9949258253878771
2,0.31733515244930155
3,0.07781843870102394
4,-0.05377852840628864
5,-0.03455863206360488
6,-0.050080803125287614
7,-0.055639980238815584
8,-0.04529684174932126
9,-0.03892748996945601
10,-0.003932090294123103
11,0.01172640277986577
12,0.0021275121624987456
13,-0.017324441804717056
14,0.0017523355479670377
15,0.003250881051510683
16,0.024003375075792668
17,0.0037713042829961504
18,-0.010798556356812622
19,0.01189452335917944
20,0.013511452549538379
21,-0.010153874833115745
22,0.002017369888327837
23,0.026858738268579388
24,0.024989675369959562
25,0.013645978354959096
26,-0.00946597051657515
27,0.04205540288600688
28,0.00021643652399308425
29,-0.011153461732332046
30,0.008326607423859426
31,-0.009356348908233218
32,0.002644848831404833
33,0.0008813769830037519
34,0.001553959990941594
35,-0.03195985845085864
36,0.00843113313393067
37,-0.024254802464755972
38,-0.015255604767620879
39,-0.001474211574526805
40,-0.012354698010966808
41,-0.03506082299377405
42,-0.005489992396439605
43,-0.012446804579962336
44,-0.008091972575880802
45,-0.0022466878271546037
46,-0.007772399422265309
47,-0.005727325083571787
48,0.0004554800659421457
49,-0.008756589576187386
50,0.002590336061922519
51,-0.0022985024939271154
52,-0.003799295198488364
53,-0.0017736317512683925
54,-0.005924565018412266
55,0.01713310422904304
56,0.013222369220920079
57,0.02202491187756852
58,0.007913762190776531
59,0.016885240769591046
60,0.01712423837733701
